make_standardized,model_standardized,ev_category
ABARTH,500,ICE
ABARTH,500E,BEV
ABARTH,500E T,ICE
ABARTH,695,ICE
ABARTH,695 75,ICE
ABARTH,695 CO,ICE
ABARTH,ABARTH,ICE
ABARTH,EV 500,ICE
AUDI,,ICE
AUDI,A1,ICE
AUDI,A1 SPO,ICE
AUDI,A3,ICE
AUDI,A3 SPO,ICE
AUDI,A4,ICE
AUDI,A4 ALL,ICE
AUDI,A4 AVA,ICE
AUDI,A5,ICE
AUDI,A5 AVA,ICE
AUDI,A5 HYB,ICE
AUDI,A6,ICE
AUDI,A6 ALL,ICE
AUDI,A7,ICE
AUDI,A8,ICE
AUDI,CWG 21,ICE
AUDI,CZDC76,ICE
AUDI,E TRON,ICE
AUDI,E-TRON,ICE
AUDI,ETRON,ICE
AUDI,ETRONG,ICE
AUDI,GIULIA,ICE
AUDI,Q1,ICE
AUDI,Q2,ICE
AUDI,Q3,ICE
AUDI,Q3 SPO,ICE
AUDI,Q4,ICE
AUDI,Q4 E T,ICE
AUDI,Q4 E-T,ICE
AUDI,Q4 ETR,ICE
AUDI,Q4 SPO,ICE
AUDI,Q4ETRO,ICE
AUDI,Q5,ICE
AUDI,Q5 E,ICE
AUDI,Q5 SPO,ICE
AUDI,Q6,ICE
AUDI,Q6 E-T,ICE
AUDI,Q6 ETR,ICE
AUDI,Q6E-TR,ICE
AUDI,Q7,ICE
AUDI,Q7 QUA,ICE
AUDI,Q8,ICE
AUDI,Q8 60,ICE
AUDI,Q8 E,ICE
AUDI,Q8 E T,ICE
AUDI,Q8 E-T,ICE
AUDI,Q8 ETR,ICE
AUDI,QA,ICE
AUDI,R7 SPO,ICE
AUDI,RS 3,ICE
AUDI,RS 4 A,ICE
AUDI,RS 5,ICE
AUDI,RS 6,ICE
AUDI,RS E T,ICE
AUDI,RS ETR,ICE
AUDI,RS Q3,ICE
AUDI,RS Q8,ICE
AUDI,RS3,ICE
AUDI,RS4,ICE
AUDI,RS4 AV,ICE
AUDI,RS5,ICE
AUDI,RS6,ICE
AUDI,RS6 AV,ICE
AUDI,RS6 GT,ICE
AUDI,RS7,ICE
AUDI,RSETRO,ICE
AUDI,RSQ3,ICE
AUDI,RSQ8,ICE
AUDI,S3,ICE
AUDI,S3 SPO,ICE
AUDI,S4,ICE
AUDI,S4 AV,ICE
AUDI,S5,ICE
AUDI,S5 AVA,ICE
AUDI,S6,ICE
AUDI,S7,ICE
AUDI,S8,ICE
AUDI,SQ2,ICE
AUDI,SQ5,ICE
AUDI,SQ5 TF,ICE
AUDI,SQ6,ICE
AUDI,SQ6 ET,ICE
AUDI,SQ7,ICE
AUDI,SQ8,ICE
AUDI,SQ8 ET,ICE
AUDI,TT,ICE
AUDI,TT 45,ICE
AUDI,TT COU,ICE
AUDI,TT S C,ICE
AUDI,TTRS,ICE
BMW,1 SERI,ICE
BMW,118,ICE
BMW,118 HA,ICE
BMW,1181,ICE
BMW,118I,ICE
BMW,118I H,ICE
BMW,120,ICE
BMW,120 HA,ICE
BMW,120I,ICE
BMW,1250GS,ICE
BMW,128,ICE
BMW,128I,ICE
BMW,128TI,ICE
BMW,12AK,ICE
BMW,12EV,ICE
BMW,12EY,ICE
BMW,12GE,ICE
BMW,12GE 1,ICE
BMW,1X,ICE
BMW,1X1,ICE
BMW,1X2,ICE
BMW,1X2 30,ICE
BMW,2,ICE
BMW,2 SERI,ICE
BMW,218,ICE
BMW,218 GC,ICE
BMW,218 GR,ICE
BMW,218I,ICE
BMW,218I G,ICE
BMW,218I X,ICE
BMW,220,ICE
BMW,220 GC,ICE
BMW,220 GR,ICE
BMW,220I,ICE
BMW,220I C,ICE
BMW,220I G,ICE
BMW,220I M,ICE
BMW,220I S,ICE
BMW,223I,ICE
BMW,22EE,ICE
BMW,22EM,ICE
BMW,22EN,ICE
BMW,230,ICE
BMW,230I,ICE
BMW,230I C,ICE
BMW,230I M,ICE
BMW,2318I,ICE
BMW,235I,ICE
BMW,240I,ICE
BMW,3,ICE
BMW,3 SERI,ICE
BMW,30I,ICE
BMW,320,ICE
BMW,320I,ICE
BMW,32EU,ICE
BMW,32GP,ICE
BMW,330,ICE
BMW,330E,ICE
BMW,330I,ICE
BMW,330I S,ICE
BMW,330I T,ICE
BMW,330ITR,ICE
BMW,340I,ICE
BMW,36GP,ICE
BMW,3SER,ICE
BMW,4 SERI,ICE
BMW,420I,ICE
BMW,420I C,ICE
BMW,420I G,ICE
BMW,420I M,ICE
BMW,42DT,ICE
BMW,42GM,ICE
BMW,430,ICE
BMW,430GC,ICE
BMW,430I,ICE
BMW,430I C,ICE
BMW,430I G,ICE
BMW,440I,ICE
BMW,5 SERI,ICE
