make_raw,make_standardized
ABARTH,ABARTH
AUDI,AUDI
B M W,BMW
B Y D,BYD
CHERY,CHERY
CHEV,CHEVROLET
CITRN,CITROEN
CUPRA,CUPRA
DAIHAT,DAIHATSU
DEEPAL,DEEPAL
DENZA,DENZA
DODGE,DODGE
FERRAR,FERRARI
FIAT,FIAT
FORD,FORD
GAC,GAC
GEELY,GEELY
GENSIS,GENESIS
G M C,GMC
GMC,GMC
G WALL,GREAT WALL
HAVAL,HAVAL
HOLDEN,HOLDEN
HONDA,HONDA
HYNDAI,HYUNDAI
JAECOO,JAECOO
JAGUAR,JAGUAR
JEEP,JEEP
KGM,KGM
KIA,KIA
LEXUS,LEXUS
LOTUS,LOTUS
MAHIND,MAHINDRA
MAZDA,MAZDA
MERC B,MERCEDES-BENZ
M G,MG
MINI,MINI
MITSUB,MITSUBISHI
NISSAN,NISSAN
OMODA,OMODA
PEUG,PEUGEOT
POLEST,POLESTAR
PORSCH,PORSCHE
RIVIAN,RIVIAN
SKODA,SKODA
SUBARU,SUBARU
SUZUKI,SUZUKI
TESLA,TESLA
TOYOTA,TOYOTA
VOLKS,VOLKSWAGEN
VOLVO,VOLVO
XPENG,XPENG
ZEEKR,ZEEKR
